DRT,Split Ratio,Accuracy before,Accuracy after,n_components
LDA,0.1,1.0,1.0,1
PCA,0.1,0.9333333333333333,0.9333333333333333,1
Chi,0.1,0.9333333333333333,0.9333333333333333,1
LDA,0.2,0.9333333333333333,1.0,1
PCA,0.2,0.9666666666666667,0.9666666666666667,1
BFE,0.2,0.9666666666666667,0.9666666666666667,1
FFS,0.2,0.9333333333333333,0.9666666666666667,1
LDA,0.3,1.0,1.0,1
Chi,0.3,0.9111111111111111,0.9555555555555556,1
BFE,0.4,0.9333333333333333,0.9666666666666667,1
Chi,0.4,0.9166666666666666,0.9166666666666666,1
LDA,0.1,0.9333333333333333,0.9333333333333333,2
PCA,0.1,1.0,1.0,2
BFE,0.1,1.0,1.0,2
Chi,0.1,0.9333333333333333,0.9333333333333333,2
LDA,0.2,1.0,1.0,2
PCA,0.2,0.9333333333333333,0.9333333333333333,2
BFE,0.2,0.9333333333333333,0.9333333333333333,2
Chi,0.2,0.9666666666666667,0.9666666666666667,2
LDA,0.3,0.9333333333333333,0.9333333333333333,2
PCA,0.3,0.9777777777777777,1.0,2
BFE,0.3,1.0,1.0,2
FFS,0.4,0.9666666666666667,0.9666666666666667,2
